"Date","Category","Priority"
2025-12-06,"Complaints Handling","Low"
2026-05-30,"Product Defects","High"
2026-05-16,"Account Access","Low"
2025-12-20,"Payment Failures","High"
2026-03-08,"Fraud/Scam Concerns","High"
2025-12-13,"Product Defects","High"
2025-10-23,"Fraud/Scam Concerns","Low"
2025-12-05,"Service Quality","Low"
2026-05-12,"Delivery Delays","Medium"
2025-11-27,"Fraud/Scam Concerns","Medium"
2026-02-16,"Payment Failures","Medium"
2025-11-30,"Delivery Delays","High"
2026-03-05,"Service Quality","Low"
2026-02-24,"Service Quality","High"
2025-11-27,"Complaints Handling","High"
2026-03-29,"Customer Behaviour","Medium"
2026-01-26,"Delivery Delays","Medium"
2026-02-15,"Technical Errors","High"
2026-01-17,"Service Quality","Medium"
2026-02-04,"Delivery Delays","Medium"
2025-10-05,"Billing Issues","Low"
2025-12-04,"Account Access","Low"
2025-10-17,"Information Requests","Low"
2026-03-21,"Service Quality","High"
2026-04-28,"Service Quality","Low"
2026-02-25,"Delivery Delays","High"
2025-11-07,"Account Access","Low"
2026-02-28,"Customer Behaviour","Low"
2026-01-25,"Product Defects","Medium"
2025-11-22,"Refund Requests","Low"
2026-05-31,"Account Access","High"
2025-10-19,"Data/Privacy Queries","Low"
2026-01-20,"Website Problems","Low"
2025-10-02,"Information Requests","Medium"
2026-04-02,"Account Access","Medium"
2026-04-19,"Information Requests","Low"
2026-02-27,"Delivery Delays","Low"
2025-12-22,"Other","High"
2026-05-15,"Information Requests","Low"
2026-04-26,"Fraud/Scam Concerns","High"
2026-05-24,"Customer Behaviour","High"
2026-05-14,"Fraud/Scam Concerns","High"
2026-04-16,"Information Requests","Low"
2025-11-30,"Billing Issues","Medium"
2026-02-20,"Delivery Delays","Low"
2026-05-18,"Payment Failures","Medium"
2026-02-22,"Technical Errors","High"
2025-12-21,"Product Defects","Medium"
2026-01-18,"Service Quality","Medium"
2025-12-30,"Fraud/Scam Concerns","Medium"
2026-03-22,"App Issues","Low"
2026-06-05,"Information Requests","Low"
2025-12-20,"Account Access","Low"
2026-02-21,"Billing Issues","Low"
2025-11-01,"Cancellation Requests","Low"
2026-03-16,"Third-party Issues","Low"
2025-11-23,"Cancellation Requests","Low"
2025-12-13,"Billing Issues","High"
2026-03-16,"Refund Requests","Medium"
2026-05-08,"Third-party Issues","High"
2026-01-30,"Refund Requests","Low"
2026-03-26,"Billing Issues","Low"
2026-05-14,"Other","Low"
2026-04-21,"Billing Issues","Medium"
2026-02-18,"Payment Failures","Medium"
2025-11-21,"Customer Behaviour","High"
2026-03-06,"Technical Errors","Low"
2026-06-05,"Account Access","Medium"
2025-10-06,"Product Defects","Low"
2025-11-28,"Billing Issues","Medium"
2026-03-04,"Account Access","Low"
2025-10-02,"Billing Issues","Medium"
2026-03-28,"Information Requests","Low"
2025-12-29,"Account Access","High"
2025-11-30,"Information Requests","High"
2026-03-13,"Account Access","Low"
2026-05-05,"Delivery Delays","Low"
2026-04-14,"Cancellation Requests","High"
2025-12-14,"Technical Errors","Low"
2026-05-26,"Information Requests","Low"
2026-01-16,"Complaints Handling","Low"
2026-01-14,"App Issues","Low"
2026-02-04,"Delivery Delays","High"
2026-02-16,"Service Quality","Medium"
2025-12-13,"Billing Issues","Medium"
2026-03-30,"Billing Issues","Medium"
2026-04-08,"Account Access","Low"
2025-11-03,"Account Access","Low"
2025-10-07,"Data/Privacy Queries","High"
2026-04-04,"Billing Issues","Low"
2026-03-10,"Service Quality","Medium"
2025-12-08,"Delivery Delays","Medium"
2026-02-21,"Customer Behaviour","Low"
2025-12-01,"Service Quality","Low"
2026-05-05,"Delivery Delays","Medium"
2026-02-26,"Product Defects","High"
2026-02-09,"Product Defects","Medium"
2026-05-28,"Account Access","Medium"
2026-04-25,"Product Defects","Medium"
2026-05-19,"Billing Issues","Medium"
2026-05-24,"Payment Failures","High"
2026-05-02,"Refund Requests","Low"
2026-05-10,"Technical Errors","Medium"
2026-03-05,"Customer Behaviour","Low"
2025-12-15,"Refund Requests","Medium"
2026-05-15,"Complaints Handling","Medium"
2026-02-04,"Information Requests","Low"
2026-06-02,"Cancellation Requests","Medium"
2025-12-13,"Technical Errors","Medium"
2026-03-05,"Billing Issues","Low"
2026-05-07,"Cancellation Requests","Medium"
2025-10-27,"Complaints Handling","Low"
2026-01-22,"Data/Privacy Queries","Low"
2025-11-07,"Refund Requests","Low"
2025-12-16,"Data/Privacy Queries","Medium"
2025-12-29,"Fraud/Scam Concerns","Medium"
2026-05-02,"Information Requests","Low"
2026-01-27,"Technical Errors","Medium"
2026-01-15,"Cancellation Requests","Low"
2026-01-06,"Cancellation Requests","Low"
2026-01-03,"Delivery Delays","Low"
2025-11-03,"Complaints Handling","Low"
2026-01-30,"Billing Issues","Medium"
2026-03-05,"Service Quality","Low"
2026-01-04,"Fraud/Scam Concerns","High"
2026-04-07,"Refund Requests","Low"
2025-12-29,"Service Quality","Low"
2025-12-22,"Delivery Delays","Low"
2025-11-11,"Complaints Handling","Medium"
2026-03-17,"Customer Behaviour","Low"
2026-04-05,"Complaints Handling","High"
2025-11-01,"Complaints Handling","Medium"
2026-02-09,"Refund Requests","Low"
2025-12-30,"Billing Issues","Low"
2026-01-30,"Information Requests","Low"
2026-02-25,"Account Access","Low"
2026-04-25,"Technical Errors","High"
2025-10-14,"Billing Issues","Low"
2026-01-30,"Account Access","Low"
2026-02-11,"Communication Problems","Medium"
2025-11-13,"Billing Issues","Medium"
2026-04-25,"Service Quality","Low"
2026-01-19,"Refund Requests","Low"
2026-02-27,"Billing Issues","Medium"
2025-12-23,"Delivery Delays","High"
2026-01-17,"Service Quality","Medium"
2025-12-18,"Account Access","Low"
2026-01-13,"Fraud/Scam Concerns","High"
2026-01-30,"Delivery Delays","Low"
2026-01-31,"Customer Behaviour","Medium"
2025-11-19,"Information Requests","Medium"
2026-02-21,"Service Quality","Low"
2025-10-17,"Delivery Delays","High"
2026-04-24,"Refund Requests","Medium"
2026-01-18,"Technical Errors","Low"
2025-10-24,"Technical Errors","High"
2026-04-05,"Customer Behaviour","Low"
2026-02-04,"Billing Issues","Medium"
2025-11-22,"Delivery Delays","Low"
2026-04-19,"Subscription Issues","Low"
2026-03-28,"Fraud/Scam Concerns","Low"
2025-12-18,"Product Defects","Medium"
2026-03-09,"Fraud/Scam Concerns","Medium"
2025-12-27,"Delivery Delays","Low"
2025-11-10,"Billing Issues","Low"
2026-03-03,"Product Defects","Low"
2025-10-20,"Fraud/Scam Concerns","Medium"
2026-05-20,"Billing Issues","Medium"
2025-12-10,"Other","Low"
2026-04-02,"Billing Issues","Medium"
2026-06-07,"Third-party Issues","Low"
2025-11-26,"Technical Errors","High"
2026-03-19,"Product Defects","High"
2025-10-20,"Communication Problems","High"
2026-04-20,"Third-party Issues","Low"
2026-05-22,"Billing Issues","Low"
2026-03-08,"Cancellation Requests","Medium"
2026-04-18,"Service Quality","Low"
2026-01-29,"Technical Errors","Low"
2026-01-11,"Data/Privacy Queries","Low"
2025-11-12,"Service Quality","Medium"
2026-01-18,"Third-party Issues","High"
2026-03-29,"Technical Errors","Low"
2026-01-29,"Product Defects","Low"
2026-01-31,"Account Access","Low"
2025-10-02,"Website Problems","Low"
2025-11-05,"Website Problems","Medium"
2026-02-14,"Payment Failures","Low"
2026-02-28,"Service Quality","Low"
2026-03-03,"Customer Behaviour","Low"
2026-05-03,"Delivery Delays","Low"
2026-02-07,"",""
2026-05-05,"Billing Issues","Medium"
2026-01-13,"Billing Issues","Low"
2025-11-21,"Product Defects","Medium"
2026-05-22,"Technical Errors","High"
2026-04-08,"Billing Issues","High"
2026-02-24,"Account Access","Low"
2025-10-07,"Complaints Handling","Medium"
2026-03-15,"Delivery Delays","Medium"
2026-05-11,"Payment Failures","Low"
2026-05-17,"Account Access","Low"
2026-02-18,"Other","Low"
2026-03-26,"Data/Privacy Queries","Low"
2026-02-15,"Service Quality","Low"
2026-05-16,"Customer Behaviour","High"
2025-12-20,"Subscription Issues","Low"
2025-11-21,"Billing Issues","High"
2026-06-06,"Service Quality","Low"
2026-02-01,"Service Quality","Medium"
2026-04-29,"Account Access","High"
2025-11-01,"Account Access","High"
2025-12-17,"Product Defects","Medium"
2025-11-07,"Information Requests","Medium"
2026-05-05,"Product Defects","Low"
2026-05-25,"Service Quality","High"
2025-12-01,"Information Requests","Low"
2025-11-06,"Account Access","Medium"
2026-03-30,"Information Requests","Low"
2025-12-25,"Fraud/Scam Concerns","Low"
2025-12-18,"Information Requests","Low"
2026-02-10,"Product Defects","Low"
2026-03-29,"Third-party Issues","Low"
2026-02-01,"Product Defects","Medium"
2026-02-24,"Product Defects","High"
2026-04-07,"Communication Problems","Medium"
2025-12-14,"Subscription Issues","Medium"
2025-10-06,"Fraud/Scam Concerns","High"
2025-12-12,"Technical Errors","High"
2025-10-22,"Customer Behaviour","Medium"
2026-03-02,"Technical Errors","Medium"
2026-03-05,"Refund Requests","Low"
2026-04-09,"Customer Behaviour","Low"
2026-02-21,"Account Access","Low"
2025-11-16,"Account Access","Low"
2026-06-01,"Delivery Delays","Medium"
2026-02-04,"Refund Requests","Low"
2026-01-12,"Account Access","Low"
2026-02-14,"Customer Behaviour","Low"
2025-11-22,"Delivery Delays","Low"
2026-06-04,"Billing Issues","Low"
2026-01-19,"Technical Errors","Medium"
2025-11-25,"Account Access","Medium"
2026-03-30,"Information Requests","Low"
2026-01-04,"Delivery Delays","Medium"
2026-01-10,"Third-party Issues","Low"
2025-12-14,"Cancellation Requests","Low"
2026-01-17,"Delivery Delays","Medium"
2026-03-24,"Fraud/Scam Concerns","High"
2025-10-06,"Refund Requests","High"
2026-03-22,"Product Defects","Low"
2026-04-25,"Product Defects","Low"
2026-02-08,"Cancellation Requests","High"
2025-10-05,"Billing Issues","High"
2025-10-23,"Service Quality","High"
2025-11-22,"Account Access","Low"
2026-02-16,"Delivery Delays","Medium"
2026-02-16,"Complaints Handling","Low"
2026-04-29,"Technical Errors","High"
2026-03-07,"Payment Failures","Low"
2025-11-14,"Billing Issues","Low"
2026-03-26,"Delivery Delays","Medium"
2025-10-14,"Product Defects","Medium"
2026-03-02,"Customer Behaviour","Low"
2026-03-27,"Technical Errors","High"
2025-12-15,"Technical Errors","Low"
2025-11-30,"Product Defects","Medium"
2026-05-28,"Billing Issues","Low"
2026-03-11,"Product Defects","Low"
2026-03-23,"Customer Behaviour","High"
2026-03-24,"Product Defects","Medium"
2025-12-22,"Complaints Handling","Medium"
2026-04-16,"Technical Errors","Low"
2026-05-07,"Information Requests","Medium"
2026-03-09,"Account Access","Low"
2026-01-20,"Complaints Handling","Medium"
2025-11-24,"Product Defects","Medium"
2026-03-04,"Billing Issues","Medium"
2025-10-09,"Billing Issues","Low"
2026-05-31,"Billing Issues","Low"
2026-01-21,"Billing Issues","Low"
2025-12-01,"Delivery Delays","Low"
2026-01-09,"Billing Issues","High"
2026-02-24,"Technical Errors","High"
2026-04-07,"Payment Failures","High"
2026-03-24,"Service Quality","Low"
2026-01-03,"Third-party Issues","Medium"
2026-04-01,"Information Requests","Low"
2026-06-01,"Account Access","Low"
2025-10-18,"Billing Issues","Low"
2025-11-05,"Complaints Handling","Low"
2026-03-25,"Delivery Delays","Medium"
2026-04-21,"Data/Privacy Queries","Medium"
2026-03-07,"Cancellation Requests","Medium"
2025-10-19,"Technical Errors","High"
2026-01-22,"Subscription Issues","Low"
2026-02-12,"Delivery Delays","Medium"
2025-11-12,"Third-party Issues","Medium"
2026-01-16,"Account Access","Medium"
2026-03-24,"Cancellation Requests","Low"
2026-02-06,"Account Access","Medium"
2026-05-14,"Delivery Delays","Medium"
2026-05-08,"Service Quality","High"
2025-10-20,"Refund Requests","Medium"
2026-05-23,"Billing Issues","Medium"
2026-01-22,"Account Access","Low"
2025-10-15,"Account Access","Low"
2026-01-16,"Information Requests","Low"
2026-05-27,"Service Quality","Medium"
2025-11-30,"Billing Issues","Medium"
2025-11-14,"Information Requests","Low"
2026-04-20,"Website Problems","Low"
2026-01-20,"Complaints Handling","Low"
2026-05-25,"Fraud/Scam Concerns","Low"
2026-05-29,"Billing Issues","High"
2026-05-05,"Information Requests","Medium"
2025-12-27,"Third-party Issues","Medium"
2026-02-22,"Product Defects","Medium"
2025-10-28,"Technical Errors","High"
2026-02-10,"Billing Issues","Medium"
2025-11-18,"Account Access","Low"
2025-10-08,"Subscription Issues","Low"
2026-02-19,"Product Defects","High"
2026-01-28,"Billing Issues","Low"
2026-04-23,"Complaints Handling","Medium"
2026-05-07,"Third-party Issues","Medium"
2026-03-23,"Fraud/Scam Concerns","Medium"
2026-03-02,"Delivery Delays","Medium"
2025-12-01,"Technical Errors","High"
2025-11-03,"Cancellation Requests","Low"
2026-02-03,"Product Defects","Medium"
2026-04-16,"Refund Requests","Medium"
2025-11-27,"Account Access","Low"
2026-01-01,"Refund Requests","Low"
2025-12-08,"Delivery Delays","Low"
2025-11-13,"Product Defects","Low"
2025-12-25,"Billing Issues","Low"
2026-01-05,"Billing Issues","Medium"
2026-06-07,"Delivery Delays","Medium"
2026-05-10,"Billing Issues","Medium"
2026-01-02,"Technical Errors","Medium"
2026-03-21,"Billing Issues","Medium"
2025-10-24,"Payment Failures","Medium"
2025-10-21,"Delivery Delays","Medium"
2026-03-01,"Account Access","High"
2026-03-12,"Service Quality","Medium"
2026-04-11,"Billing Issues","High"
2026-06-07,"Delivery Delays","Medium"
2025-11-13,"Customer Behaviour","Medium"
2025-12-22,"Complaints Handling","Low"
2026-03-03,"Other","High"
2025-10-28,"Refund Requests","Medium"
2025-11-07,"Technical Errors","High"
2026-03-10,"Service Quality","High"
2026-03-14,"Account Access","Low"
2026-02-15,"Technical Errors","Low"
2025-12-25,"Other","Medium"
2026-05-24,"Service Quality","Low"
2026-05-01,"Technical Errors","High"
2026-05-17,"Product Defects","Low"
2026-02-21,"Technical Errors","High"
2026-06-02,"Billing Issues","Low"
2026-02-17,"Technical Errors","High"
2026-04-17,"Service Quality","Low"
2026-01-12,"Billing Issues","Low"
2025-10-13,"App Issues","Low"
2025-11-10,"Delivery Delays","Low"
2026-05-24,"Refund Requests","Low"
2026-03-11,"Information Requests","Low"
2026-03-05,"Service Quality","Low"
2025-12-11,"Delivery Delays","Low"
2025-11-18,"Billing Issues","Low"
2025-12-19,"Delivery Delays","Medium"
2026-02-15,"Information Requests","Medium"
2025-11-06,"Fraud/Scam Concerns","Low"
2025-11-08,"Technical Errors","Medium"
2026-02-07,"Complaints Handling","Medium"
2026-04-27,"Fraud/Scam Concerns","High"
2026-02-09,"Cancellation Requests","Low"
2026-03-18,"Cancellation Requests","High"
2026-04-05,"Communication Problems","Medium"
2026-01-19,"Technical Errors","High"
2025-11-12,"Delivery Delays","Medium"
2025-10-28,"Subscription Issues","Low"
2026-02-04,"Payment Failures","Medium"
2026-02-04,"Delivery Delays","Low"
2026-04-28,"Customer Behaviour","Medium"
2025-10-14,"Delivery Delays","Low"
2026-04-19,"Billing Issues","Medium"
2026-04-13,"Service Quality","High"
2026-04-21,"Other","Low"
2026-03-20,"Billing Issues","High"
2026-02-12,"Cancellation Requests","High"
2026-05-26,"App Issues","Low"
2025-10-25,"Technical Errors","Low"
2026-06-07,"Technical Errors","High"
2026-05-31,"Customer Behaviour","High"
2026-05-03,"Payment Failures","Low"
2026-02-05,"Fraud/Scam Concerns","Medium"
2026-02-07,"Information Requests","Low"
2026-02-19,"Information Requests","Low"
2025-12-23,"Technical Errors","Medium"
2026-03-12,"Billing Issues","High"
2026-06-07,"Payment Failures","Low"
2026-04-24,"Refund Requests","High"
2026-02-23,"Cancellation Requests","Low"
2026-04-02,"Billing Issues","Medium"
2025-12-13,"Technical Errors","High"
2025-12-13,"Information Requests","Low"
2025-11-09,"Delivery Delays","Medium"
2026-03-08,"Account Access","Medium"
2026-04-01,"Account Access","Medium"
2025-10-28,"Cancellation Requests","Low"
2025-12-07,"Payment Failures","Low"
2026-01-15,"Technical Errors","High"
2026-05-01,"Information Requests","Low"
2025-12-26,"Information Requests","Low"
2025-10-30,"Account Access","Medium"
2025-12-31,"Fraud/Scam Concerns","Low"
2026-03-14,"Billing Issues","Medium"
2026-02-18,"Complaints Handling","High"
2026-01-14,"Delivery Delays","Low"
2025-11-10,"Billing Issues","High"
2025-12-23,"Service Quality","Medium"
2026-05-18,"Billing Issues","Low"
2025-12-22,"Service Quality","Low"
2026-01-26,"Complaints Handling","Low"
2025-11-06,"Technical Errors","High"
2025-12-04,"Billing Issues","Medium"
2026-02-17,"Account Access","Low"
2026-04-02,"Delivery Delays","Medium"
2025-11-06,"Refund Requests","Low"
2026-03-30,"Technical Errors","High"
2026-04-16,"Technical Errors","High"
2026-03-12,"Information Requests","Low"
2025-10-31,"Technical Errors","Low"
2026-06-06,"Customer Behaviour","Low"
2026-03-24,"Payment Failures","Low"
2025-11-16,"Information Requests","Low"
2026-05-18,"Cancellation Requests","Medium"
2025-12-24,"Service Quality","Medium"
2026-05-21,"Complaints Handling","Medium"
2025-12-27,"Complaints Handling","Medium"
2026-03-08,"Service Quality","Medium"
2026-04-12,"Fraud/Scam Concerns","Medium"
2026-05-12,"Third-party Issues","High"
2026-05-17,"Delivery Delays","Medium"
2026-05-23,"Delivery Delays","Low"
2026-03-06,"Billing Issues","Low"
2025-10-09,"Account Access","Low"
2026-01-12,"Account Access","Low"
2026-02-13,"Service Quality","Low"
2026-01-30,"Delivery Delays","Low"
2026-03-20,"Fraud/Scam Concerns","High"
2026-04-25,"Billing Issues","Low"
2026-05-14,"Communication Problems","Low"
2026-02-18,"Information Requests","Low"
2025-10-31,"Payment Failures","Low"
2025-10-08,"Service Quality","Low"
2026-03-21,"Account Access","Low"
2026-02-18,"Payment Failures","High"
2025-12-29,"Delivery Delays","Low"
2026-01-23,"Service Quality","Low"
2026-06-05,"Service Quality","Low"
2025-10-31,"Billing Issues","Medium"
2026-02-15,"Service Quality","Medium"
2026-01-16,"Communication Problems","Medium"
2025-11-15,"Account Access","Medium"
2026-06-06,"Delivery Delays","Low"
2026-06-05,"Information Requests","Low"
2026-05-13,"Customer Behaviour","Low"
2025-12-07,"Complaints Handling","Medium"
2026-04-12,"Subscription Issues","Medium"
2026-01-23,"Technical Errors","High"
2025-10-27,"Fraud/Scam Concerns","Low"
2025-10-19,"Cancellation Requests","High"
2026-01-11,"Product Defects","Low"
2026-02-13,"Technical Errors","High"
2025-12-24,"Billing Issues","Low"
2026-03-14,"Information Requests","Low"
2026-03-11,"Technical Errors","High"
2026-02-26,"Service Quality","Low"
2026-02-10,"Complaints Handling","Medium"
2026-04-04,"Product Defects","Low"
2026-03-13,"Technical Errors","High"
2026-04-19,"Account Access","High"
2026-04-04,"Delivery Delays","Medium"
2026-03-16,"Technical Errors","High"
2026-03-14,"App Issues","Low"
2025-12-28,"Service Quality","Low"
2026-03-10,"App Issues","Low"
2026-05-17,"Service Quality","Medium"
2025-11-02,"Delivery Delays","Low"
2026-01-03,"Information Requests","Low"
2026-01-16,"Account Access","Low"
2026-04-17,"Service Quality","High"
2025-10-26,"Product Defects","Medium"
2026-02-16,"Subscription Issues","Medium"
2025-10-28,"Service Quality","Low"
2026-01-17,"Technical Errors","Medium"
2026-04-15,"App Issues","Medium"
2026-04-03,"Complaints Handling","Low"
2025-12-21,"Billing Issues","Medium"
2025-12-03,"Product Defects","Low"
2026-05-26,"Third-party Issues","Low"
2025-10-10,"Billing Issues","Low"
2026-01-04,"Fraud/Scam Concerns","Low"
2026-04-23,"Account Access","Low"
2026-02-24,"Subscription Issues","Low"
2026-05-14,"Account Access","High"
2026-05-25,"Account Access","High"
2026-04-03,"Complaints Handling","Low"
2026-04-30,"Delivery Delays","Low"
2026-03-04,"Complaints Handling","Medium"
2025-11-16,"Technical Errors","Medium"
2025-11-23,"Information Requests","Low"
2026-05-30,"Cancellation Requests","Low"
2025-12-27,"Product Defects","Low"
2025-12-21,"Refund Requests","High"
2025-11-12,"Service Quality","Medium"
2025-12-28,"Technical Errors","Low"
2025-12-19,"Billing Issues","Low"
2026-03-04,"Account Access","Low"
2025-12-06,"Communication Problems","Medium"
2026-05-08,"Billing Issues","Low"
2025-12-08,"Billing Issues","Low"
2026-03-10,"Website Problems","Low"
2025-11-06,"Account Access","Medium"
2026-04-26,"Payment Failures","Medium"
2026-04-19,"Complaints Handling","Low"
2025-12-19,"Technical Errors","Low"
2025-11-16,"Payment Failures","Low"
2026-01-05,"Product Defects","Low"
2025-11-29,"Cancellation Requests","Low"
2025-10-30,"Information Requests","Low"
2026-01-16,"Delivery Delays","Low"
2026-04-19,"Payment Failures","Low"
2025-10-10,"Billing Issues","Low"
2026-05-24,"Data/Privacy Queries","Medium"
2026-03-14,"Product Defects","Low"
2026-05-20,"Subscription Issues","Low"
2025-12-27,"Information Requests","Low"
2026-05-23,"Complaints Handling","Medium"
2025-11-27,"Information Requests","Low"
2025-10-19,"Fraud/Scam Concerns","Low"
2025-11-27,"Delivery Delays","Low"
2025-10-15,"Service Quality","Low"
2025-12-31,"Service Quality","Medium"
2026-03-10,"Fraud/Scam Concerns","High"
2026-02-19,"Product Defects","Medium"
2025-10-11,"Customer Behaviour","High"
2026-01-28,"Cancellation Requests","High"
2026-03-12,"Information Requests","Low"
2026-03-05,"Billing Issues","High"
2026-04-24,"Account Access","Low"
2025-10-05,"Service Quality","Low"
2026-05-01,"Subscription Issues","Low"
2026-01-19,"Service Quality","Low"
2026-01-15,"Service Quality","Medium"
2026-02-27,"Delivery Delays","Low"
2025-10-14,"Service Quality","Medium"
2026-05-31,"Service Quality","Low"
2025-10-08,"Billing Issues","Medium"
2025-12-02,"Billing Issues","Medium"
2026-02-22,"Customer Behaviour","Medium"
2026-06-04,"Account Access","Medium"
2026-05-06,"Complaints Handling","Medium"
2026-04-28,"Refund Requests","Low"
2026-01-26,"Billing Issues","Medium"
2026-01-23,"Website Problems","Low"
2025-10-10,"Account Access","High"
2026-03-28,"Delivery Delays","Low"
2025-11-24,"Delivery Delays","Low"
2026-06-08,"Data/Privacy Queries","Medium"
2025-10-29,"Delivery Delays","Low"
2026-01-31,"Billing Issues","Low"
2025-12-29,"Billing Issues","Low"
2025-10-04,"Product Defects","Medium"
2026-04-19,"Service Quality","Medium"
2026-03-02,"Service Quality","Medium"
2025-12-09,"Service Quality","Medium"
2025-10-05,"Information Requests","Medium"
2026-02-23,"Service Quality","Low"
2026-03-02,"Account Access","High"
2025-11-24,"Fraud/Scam Concerns","High"
2026-03-23,"Fraud/Scam Concerns","Low"
2026-02-19,"Delivery Delays","Low"
2026-03-07,"Account Access","Low"
2026-03-13,"Billing Issues","Low"
2025-12-20,"Payment Failures","High"
2026-05-30,"Technical Errors","Low"
2026-05-10,"Communication Problems","High"
2026-02-08,"Cancellation Requests","High"
2025-10-15,"Subscription Issues","Medium"
2026-05-16,"Product Defects","High"
2026-02-28,"Service Quality","Low"
2026-04-20,"Account Access","Low"
2025-12-05,"Technical Errors","Low"
2026-04-22,"Product Defects","Medium"
2026-04-29,"Delivery Delays","Medium"
2025-11-14,"Billing Issues","Low"
2025-11-09,"Delivery Delays","Low"
2026-02-08,"Delivery Delays","High"
2025-11-24,"Customer Behaviour","Low"
2025-12-09,"Complaints Handling","Low"
2026-03-23,"Service Quality","Low"
2025-11-25,"Technical Errors","Medium"
2026-05-05,"Delivery Delays","Low"
2026-01-31,"Complaints Handling","Medium"
2026-06-02,"Website Problems","Low"
2025-12-31,"Billing Issues","Medium"
2026-05-22,"Customer Behaviour","Low"
2025-12-29,"Billing Issues","Medium"
2026-06-02,"Account Access","Medium"
2025-10-29,"Billing Issues","Low"
2025-10-31,"Technical Errors","High"
2025-11-22,"Information Requests","Low"
2026-01-11,"App Issues","Low"
2026-05-05,"Technical Errors","High"
2025-11-16,"Payment Failures","Low"
2026-01-18,"Technical Errors","High"
2026-02-18,"Delivery Delays","Medium"
2025-12-31,"Technical Errors","Medium"
2026-03-15,"Account Access","Low"
2026-03-09,"Account Access","Low"
2025-10-20,"Technical Errors","High"
2025-11-07,"Data/Privacy Queries","Low"
2026-01-17,"Customer Behaviour","Medium"
2026-03-03,"Account Access","Medium"
2026-03-02,"Account Access","Medium"
2026-03-11,"Technical Errors","Low"
2026-05-01,"Website Problems","Low"
2026-03-10,"Fraud/Scam Concerns","Low"
2025-12-29,"App Issues","Low"
2025-11-23,"Delivery Delays","Low"
2026-02-20,"Information Requests","Medium"
2026-03-13,"Delivery Delays","High"
2026-05-17,"Service Quality","High"
2026-01-21,"Account Access","Medium"
2026-05-20,"Information Requests","Low"
2025-10-13,"Billing Issues","Low"
2026-05-02,"Billing Issues","Low"
2026-05-23,"Third-party Issues","High"
2026-05-05,"Billing Issues","Low"
2025-10-09,"Service Quality","Low"
2025-11-12,"Third-party Issues","Medium"
2026-03-19,"Service Quality","High"
2025-10-12,"Website Problems","Medium"
2025-10-09,"Fraud/Scam Concerns","Medium"
2026-06-02,"Refund Requests","Low"
2026-03-16,"Payment Failures","Low"
2025-11-01,"Billing Issues","Low"
2026-02-11,"Cancellation Requests","Medium"
2026-01-30,"Fraud/Scam Concerns","Low"
2026-01-07,"Cancellation Requests","Medium"
2025-10-03,"Payment Failures","Low"
2026-01-19,"Payment Failures","High"
2025-12-15,"Cancellation Requests","Low"
2026-01-13,"App Issues","Medium"
2026-02-05,"Technical Errors","High"
2025-10-14,"Payment Failures","Medium"
2025-10-17,"Complaints Handling","Medium"
2026-05-09,"Product Defects","Low"
2026-01-02,"Technical Errors","Low"
2026-03-14,"Billing Issues","Medium"
2026-05-02,"App Issues","Low"
2026-02-02,"Information Requests","Medium"
2025-10-07,"Information Requests","High"
2026-05-06,"Data/Privacy Queries","Low"
2025-10-07,"Service Quality","Low"
2026-02-10,"Refund Requests","Low"
2026-02-17,"Information Requests","Low"
2026-04-01,"Customer Behaviour","Low"
2026-02-04,"Subscription Issues","High"
2025-12-23,"Website Problems","Medium"
2025-12-31,"Delivery Delays","Low"
2025-11-18,"Billing Issues","Medium"
2026-01-26,"Delivery Delays","Medium"
2026-01-06,"Fraud/Scam Concerns","Medium"
2025-10-03,"Billing Issues","Low"
2025-12-23,"Communication Problems","Low"
2026-04-21,"Data/Privacy Queries","Medium"
2026-02-14,"Cancellation Requests","Low"
2025-12-08,"Cancellation Requests","Low"
2026-01-02,"Information Requests","Low"
2026-03-19,"Service Quality","Low"
2026-01-06,"Third-party Issues","Medium"
2025-11-18,"Complaints Handling","Low"
2025-11-28,"Customer Behaviour","Medium"
2026-05-16,"Billing Issues","Low"
2025-12-06,"App Issues","Medium"
2026-02-08,"Cancellation Requests","Low"
2026-01-15,"Billing Issues","Medium"
2026-01-20,"Delivery Delays","Low"
2025-10-08,"Billing Issues","Medium"
2026-06-04,"Service Quality","Low"
2026-05-24,"Account Access","Medium"
2025-11-24,"Billing Issues","Medium"
2026-02-02,"Service Quality","High"
2026-01-10,"Service Quality","Medium"
2026-04-01,"Billing Issues","Medium"
2026-04-11,"Information Requests","Low"
2026-03-11,"Billing Issues","Low"
2025-11-18,"Technical Errors","Low"
2026-03-01,"Complaints Handling","Low"
2025-12-03,"App Issues","Low"
2026-04-15,"Billing Issues","High"
2025-11-18,"Technical Errors","Medium"
2026-02-08,"Website Problems","Low"
2026-03-14,"Delivery Delays","Low"
2026-02-15,"Delivery Delays","High"
2026-04-23,"Subscription Issues","Low"
2026-03-27,"Service Quality","Medium"
2025-12-10,"Service Quality","Low"
2026-01-18,"Technical Errors","High"
2025-12-04,"Delivery Delays","Medium"
2026-05-02,"Information Requests","Medium"
2026-04-21,"Cancellation Requests","Low"
2025-11-17,"Cancellation Requests","Low"
2026-03-03,"Account Access","High"
2025-10-16,"Technical Errors","Low"
2025-12-12,"Billing Issues","Medium"
2026-03-12,"Technical Errors","High"
